ID,Артикул,Имя,Наличие,Базовая цена
61348,1690216,"Чашка Hotel, фарфоровая, с блюдцем, 120 мл",0,
61350,1690056,"Тарелка Hotel, фарфоровая глубокая, диам. 21,5 см",0,
61353,1690346,"Чашка Hotel, фарфоровая, с блюдцем, 150 мл",0,
61355,1109688,"Набор емкостей для сливок и сахара, 2 пр.",0,
61359,1107448,Дозатор для специй,0,
61361,1100076,Емкость для перца BergHOFF ESSENTIALS,0,108000
61363,1690322,"Миска для мюсли Hotel, фарфоровая, диам. 15 см",0,
61365,1100075,Солонка BergHOFF ESSENTIALS,1,157600
61367,1690100,"Чашка Hotel, фарфоровая, с блюдцем, 260 мл",0,
61370,8500252,"Набор десертных вилок Essence, 4 шт.",1,205900
61373,3800021,"Набор стаканов Lover by Lover с крышками, 220 мл, 2 шт.",0,150800
61377,1106021A,"Молочник, 300 мл",0,
61380,1690025,"Тарелка Hotel, фарфоровая, диам. 26 см",0,
61384,3950136,"Кружка дорожная LEO, фарфоровая, 250 мл",1,243000
61387,3950231,"Набор столовых приборов LEO, дорожный",1,181400
61389,1212023,"Набор десертных вилок Evita, 12 шт.",0,
61391,1212024,"Набор чайных ложек Evita, 12 шт.",0,
61393,1212033,"Набор десертных вилок Pure, 12 шт.",1,245400
61395,1212028,"Набор десертных вилок Quadro, 12 шт.",1,240000
61397,1212029,"Набор чайных ложек Quadro, 12 шт.",0,
61399,3705022,"Чашка для эспрессо ECLIPSE с блюдцем, 80 мл, 2 шт.",0,
61403,3705013,"Мисочка для риса с палочками ECLIPSE, 0,30 л (2 шт.)",0,
61405,1690148,"Соусник Hotel, фарфоровый, с блюдцем, 0,6 л",0,
61409,3950057,"Поднос LEO с доской для нарезки, 34,5 х 20,5 х 3,5 см",0,
61412,3700025,"Молочник ESSENTIALS ECLIPSE с крышкой, 0,35 л",0,
61416,3950403,"Набор для специй LEO BALANCE, 2 пр.",1,309000
61420,3950411,Мельница для специй LEO BALANCE Moonbeam,1,332100
61424,3950410,Мельница для специй LEO BALANCE Moonmist,1,314000
61426,1212025,"Набор столовых вилок Quadro, 12 шт.",0,
61428,1212022,"Набор столовых ложек Evita, 12 шт.",0,
61431,4490308,"Набор вилок для стейка с деревянными ручками, 22 см, 6 пр.",0,
61433,1212027,"Набор столовых ложек Quadro, 12 шт.",1,302000
61437,1105048,"Мельница для перца и солонка STUDIO, 2 в 1",1,349100
61440,3705004,"Тарелка для супа ECLIPSE, диам. 20 см (2 шт.)",0,352600
61444,1105598,"Блюдо круглое, диам. 30 см",1,408600
61448,3800010,"Мисочка для мюсли  Lover by Lover, фиолетовая, 0,75 л, 2 шт.",0,
61451,1236001,"Набор столовых ножей Bistro, 12 шт.",0,250000
61454,3705000,"Тарелка для пасты ECLIPSE, диам. 24,5 см (2 шт.)",0,613800
61456,1212021,"Набор столовых ножей Evita, 12 шт.",0,
61458,1212026,"Набор столовых ножей Quadro, 12 шт.",0,
61461,3700431,"Миска для пасты ECLIPSE с крышкой, диам. 28 см",0,
61463,3705100,"Сервировочный набор ECLIPSE для кофе/чая, (6 пр.)",0,
61466,3700423,"Тарелка для пасты ECLIPSE, 24,5 х 22,5 см, 4 шт./уп.",0,
61470,3800013,"Тарелка Lover by Lover, желтая, диам. 21,5 см, 4 шт.",0,
61474,3800009,"Тарелка Lover by Lover, фиолетовая, диам. 21,5 см, 4 шт.",0,
61476,1690278A,"Набор блюд Hotel, овальные, фарфор, диам. 30 см, 2 шт.",0,
61478,1100610,Ведро для шампанского Zeno,0,
61482,1104232,"Ведерко для льда Zeno, 3 пр.",0,
61486,1230504,"Набор столовых приборов Finesse, 30 пр.",0,1773800
61488,1210049,Рыбыный нож Gastronomie,0,
61490,1201863,Рыбный нож Nova Matt,0,
61492,1211022,Нож для масла Cosmos,0,
61494,1210285,Вилка для мяса Gastronomie с двумя зубцами,0,
61496,1201085,Рыбный нож Senna,0,
61498,1210292,Вилка для мяса Gastronomie длинная с двумя зубцами,0,
61501,1211268,Столовая вилка для салата Cosmos,0,
61503,1202556,Столовый нож Isabella,0,
61505,1211145,Круглая десертная ложка Cosmos,0,
61507,1211435,Сервировочный нож для рыбы Cosmos,0,
61509,1211244,Вилка для пирожных Cosmos,0,
61511,1211176,Ложка для чая или кофе Cosmos,0,
61514,1211169,Чайная ложка Cosmos,0,
61518,1210056,Десертная вилка Gastronomie,0,
61520,1210162,Чайная ложка Gastronomie,0,
61523,1207162,Нож для рыбы сервировочный Saxophone,0,
61525,1211404,Сервировочный нож для нарезки Cosmos,0,
61527,1210025,Нож для масла Gastronomie,0,
61529,1207087,Нож для масла Saxophone,0,
61533,1210032,Нож для рыбы Gastronomie,0,
61535,1207247,Ложка для сахара Saxophone,0,
61537,1211336,Раздаточная ложка для картофеля Cosmos малая,0,
61539,1211411,Сервировочная вилка для салата Cosmos,0,
61543,1210117,Десертная ложка Gastronomie,0,
61545,1210339,Раздаточная ложка для картофеля Gastronomie малая,0,
61548,1211466,Столовая ложка для соуса Cosmos,0,
61552,1207001,Столовый нож Saxophone,0,
61555,1207049,Вилка для пирожных Saxophone,0,
61559,1690223,"Миска для масла Hotel, фарфоровая, 10,5 см",0,
61563,1207025,Столовая вилка Saxophone,0,
61567,1210018,Нож для масла Gastronomie,0,
61569,1701578,Рюмка для водки,0,
61571,1201030,Столовая ложка Senna,0,
61573,1202396,Столовая ложка Stella matt,0,
61575,1207124,Десертная ложка Saxophone,0,
61579,1690339,"Миска для фруктов Hotel, фарфоровая, диам. 16 см",0,
61581,1201825,Столовая ложка Nova Matt,0,
61583,1211107,Закусочная ложка Cosmos,0,
61585,1202532,Столовая ложка Isabella,0,
